	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18
g4570	146	156	195	212	82	141	296	198	208	203	105	109	55	70	92	511	544	151
g4571	460	532	422	592	713	345	465	655	485	451	337	344	597	245	327	616	675	431
g4572	2	0	0	0	7	4	2	1	1	0	4	1	0	2	0	3	4	1
g4573	5	0	3	1	0	0	1	2	2	3	1	0	0	0	1	1	1	0
g4574	37	25	29	41	47	15	38	35	20	36	11	35	25	15	29	14	95	67
g4575	6	7	11	0	1	1	0	7	4	3	3	4	0	5	0	19	21	2
g4576	20	20	12	11	0	54	20	0	2	6	12	3	14	42	15	2	1	2
g4577	105	52	92	152	66	208	45	11	15	50	63	148	29	16	92	166	72	67
g4578	189	30	114	312	186	75	175	177	84	133	54	44	13	189	136	130	243	43
g4579	183	205	159	196	170	187	280	258	256	154	124	213	207	121	144	160	261	120
g4580	5	11	5	6	8	4	10	7	6	2	5	5	5	3	4	3	7	3
g4581	4794	10880	3849	11862	7096	4961	11438	11115	7958	6290	4729	5375	8374	6083	5488	13738	6843	3202
g4582	32	62	22	41	46	25	47	26	56	34	11	19	113	40	31	40	55	28
g4583	14269	12683	9809	24113	12183	6352	23214	15344	11376	8099	7709	7769	11651	9684	7099	18149	11041	6318
g4584	4	3	4	11	5	2	4	1	7	5	1	1	13	2	4	1	5	5
g4585	0	6	0	8	7	11	5	3	7	0	3	3	0	2	0	8	7	7
g4586	91	260	21	24	56	11	66	65	23	64	60	52	209	63	73	117	144	116
g4587	2231	1591	1601	2033	2313	1479	3060	4067	1789	1970	914	1575	1723	1291	1465	2594	3144	2410
g4588	39	104	138	199	141	102	286	38	105	79	127	93	104	55	67	184	136	90
g4589	3	4	1	3	3	5	2	5	5	3	4	4	8	1	3	2	2	1
g4590	1523	859	1130	1203	1629	826	1570	782	1098	678	761	507	582	515	728	1455	947	1009
g4591	283	457	440	406	374	379	392	710	307	474	433	209	467	464	254	269	841	263
g4592	1	5	2	13	4	5	8	3	6	6	0	11	2	5	8	11	8	6
g4593	18	41	36	43	31	22	59	52	30	20	27	23	22	15	17	23	37	14
g4594	10	58	15	32	23	20	7	44	18	9	7	19	13	6	22	26	31	11
g4595	15120	6138	9824	7453	15418	8071	11685	13337	4247	5821	11188	8556	8047	5719	8786	26363	13209	8729
g4596	2092	3136	1865	3412	2205	2139	3152	2418	1970	1537	1343	1083	2436	1114	1342	2866	2892	1331
g4597	41	48	45	190	170	128	223	73	125	112	73	44	272	101	67	92	197	63
g4598	38	43	9	6	23	25	14	67	7	22	19	21	33	9	46	26	25	6
g4599	174	332	322	195	377	116	261	460	156	207	324	179	244	265	538	480	528	135
g4600	2272	2117	1724	3748	2564	1691	3659	3900	1819	1834	1559	2425	1931	1613	1254	2588	2366	1581
g4601	1811	2153	2125	3089	2589	3346	3295	2663	2501	2730	1902	2000	2843	2378	1735	4787	3002	2946
g4602	6	5	8	14	4	7	16	13	4	5	2	3	5	6	2	9	8	1
g4603	16	52	19	51	25	27	5	7	13	8	12	12	3	12	20	12	5	5
g4604	25	27	5	20	27	7	12	16	10	15	14	2	7	12	17	13	22	4
g4605	12	70	21	26	131	84	61	217	27	19	20	133	11	65	18	28	96	3
g4606	80	154	97	215	78	93	196	106	72	176	54	151	154	124	114	246	172	111
g4607	52	39	29	56	50	47	54	36	78	108	53	74	41	14	59	45	36	43
g4608	3	10	6	13	5	0	5	13	8	6	7	3	4	5	4	5	5	5
g4609	565	263	113	399	628	87	469	284	176	152	153	147	129	266	683	301	326	168
g4610	20	0	10	13	20	7	5	36	12	9	9	0	9	6	7	18	1	2
g4611	119	127	144	99	119	97	212	139	105	84	62	93	53	89	91	151	247	51
g4612	403	811	480	1137	1118	225	1021	806	565	496	286	253	1128	712	356	1155	528	419
g4613	32	40	31	62	28	41	28	25	32	26	16	29	20	34	19	33	30	31
g4614	0	0	135	2	14	1	3	11	9	0	0	1	2	34	36	21	1	11
g4615	18	10	5	18	26	2	10	25	13	16	2	7	11	9	15	17	6	3
g4616	3227	5986	3590	5646	4643	3474	6523	6751	4497	3630	3247	3774	4630	3713	4925	4136	7064	3383
g4617	9	17	12	13	15	10	7	48	15	16	1	6	36	4	17	15	2	13
g4618	30	47	44	32	45	27	40	28	55	32	12	48	31	16	24	90	27	28
g4619	16	14	20	7	4	5	3	3	0	1	7	6	0	0	12	6	2	2
g4620	157	220	115	157	59	128	230	121	132	142	92	127	104	124	96	99	167	88
g4621	0	0	2	4	1	1	6	1	4	1	2	0	8	0	0	0	2	1
g4622	2334	4193	2796	440	1256	1033	1103	3496	896	1320	404	1276	1236	1325	474	2738	7088	3968
g4623	0	10	0	0	0	2	0	28	0	0	0	18	2	11	24	0	0	2
g4624	12	0	4	9	6	0	8	8	8	3	16	8	5	7	2	6	12	1
g4625	71	4	45	366	15	303	482	19	28	10	107	22	0	417	229	3	491	23
g4626	0	2	3	13	1	3	20	1	0	3	0	4	2	12	3	4	5	0
g4627	4	4	4	2	7	3	14	18	1	9	4	1	4	7	4	6	13	6
g4628	983	2459	610	3379	1644	1202	2426	2077	711	1704	751	1131	962	1244	1236	1367	2045	937
g4629	37	31	39	14	52	15	70	42	41	49	21	23	22	40	21	44	35	34
g4630	1672	1401	1818	1939	1625	1441	1530	2029	1314	936	1906	1385	2122	1099	1152	1989	1069	1861
g4631	435	289	301	883	346	489	422	649	295	290	278	257	392	327	431	510	274	268
g4632	129	162	81	227	153	64	161	147	130	139	88	109	85	39	105	231	98	50
g4633	3	2	1	4	2	1	2	4	1	3	6	4	1	1	0	0	0	2
g4634	3	2	1	6	1	8	6	2	1	0	0	0	12	0	1	0	0	0
g4635	420	902	540	1013	550	736	789	927	383	548	401	263	702	358	338	715	497	451
g4636	3151	5690	2330	3490	3403	2221	4358	2866	2177	1483	1772	1771	2274	2257	1778	3549	4416	1669
g4637	2	16	13	1	1	0	26	0	4	1	8	0	1	0	0	1	1	0
g4638	79	55	16	132	17	32	134	4	6	65	16	28	1	20	27	38	49	21
g4639	221	786	46	291	196	340	170	325	39	747	630	355	548	262	382	256	270	47
g4640	529	802	424	1062	643	719	854	751	407	451	339	317	596	423	330	880	749	373
g4641	86	41	381	485	129	247	371	296	179	369	203	198	119	354	252	258	272	202
g4642	27	27	33	4	4	16	0	21	25	3	17	21	4	108	7	33	146	81
g4643	634	460	116	175	222	30	452	657	187	137	218	289	334	137	315	141	359	200
g4644	2501	2541	1712	3548	1566	2420	3711	3888	2113	1860	1286	1231	1856	1455	1310	3303	2913	1835
g4645	10	17	7	22	18	12	23	17	16	7	14	8	11	6	10	20	24	5
g4646	1537	2126	1011	1250	1822	1347	1763	1969	889	1434	906	952	1265	1850	548	1375	2146	858
g4647	24	55	20	47	26	28	18	37	32	15	21	45	10	22	9	47	30	26
g4648	230	392	96	109	239	132	218	231	157	149	43	128	424	209	168	506	117	108
g4649	4727	9518	6367	10234	7529	4786	6054	11739	5446	7674	4964	5830	6458	5669	5235	9520	11436	4853
g4650	7	6	0	0	0	1	0	5	0	1	4	0	0	3	6	2	14	0
g4651	6	8	1	13	17	4	14	10	10	4	8	6	5	8	4	8	14	11
g4652	9	11	39	11	38	3	55	25	9	26	7	9	7	82	1	54	8	5
g4653	3	2	0	0	4	2	9	9	1	2	5	1	2	7	0	3	1	4
g4654	581	1494	676	1514	1454	649	1743	1163	830	770	527	814	920	614	785	1524	851	940
g4655	52	67	77	96	58	75	81	48	39	49	35	37	30	41	32	61	100	67
g4656	2177	2346	1515	2435	2023	1209	2359	1356	1206	1697	1039	1423	1384	1222	1038	1527	1455	1349
g4657	395	398	456	363	554	402	511	390	444	543	390	283	237	300	390	567	373	322
g4658	348	244	243	119	75	414	471	779	223	359	250	354	69	147	177	303	303	97
g4659	12	11	303	50	222	289	881	1008	233	105	241	445	6	593	150	85	424	14
g4660	7	7	9	6	5	7	6	15	6	2	1	10	12	9	1	15	6	4
g4661	15	15	2	10	3	7	3	4	3	11	14	17	28	3	3	18	8	9
g4662	167	27	55	318	138	50	209	92	122	61	38	27	21	1	90	83	54	4
g4663	348	927	628	1516	1006	393	1427	1012	707	714	580	419	718	504	743	832	1152	316
g4664	1	7	3	1	2	7	6	0	5	3	0	4	2	0	3	15	2	4
g4665	5924	5725	4173	5414	3852	3506	8190	6194	4314	3796	2439	4339	4659	4139	3666	6339	6293	3858
g4666	9	0	1	0	4	3	1	0	0	1	16	0	0	0	2	1	4	4
g4667	5163	4945	4297	10076	7453	4699	6627	7386	5324	5708	2362	5297	5614	5188	4669	9769	6914	3336
g4668	165	174	161	1394	527	320	219	709	69	188	409	66	49	130	175	264	240	220
g4669	26	57	17	31	71	33	132	32	31	27	25	61	41	46	25	68	44	7
g4670	48	32	12	76	10	26	52	34	35	25	47	10	52	35	62	77	37	8
g4671	17	42	26	85	80	72	59	18	28	34	49	73	56	44	18	57	60	29
g4672	2	6	3	0	5	1	5	4	7	1	0	2	6	2	4	1	4	0
g4673	653	752	591	735	804	776	867	727	593	597	555	696	871	507	596	856	1165	563
g4674	8	22	11	43	34	7	24	11	18	8	17	27	17	13	2	6	15	30
g4675	19	29	0	15	0	2	0	9	8	15	0	19	5	0	30	4	6	7
g4676	24	11	12	48	34	31	63	35	39	38	26	22	18	31	25	18	44	23
g4677	5975	10064	15467	20778	14399	5827	22286	15478	11412	7100	5277	9136	15308	7126	9555	13562	14196	16475
g4678	58	89	9	68	21	59	80	87	32	62	24	29	21	39	44	50	51	20
g4679	2245	1809	2227	2828	2598	803	3400	3125	975	1678	1355	1886	1973	1219	2883	2726	2359	1473
g4680	2	2	1	0	0	0	0	3	2	3	1	0	0	1	0	2	1	2
g4681	406	894	379	681	834	851	957	1547	190	514	674	542	899	467	1223	1702	1106	458
g4682	0	14	20	10	1	1	1	4	1	12	2	8	2	3	9	5	2	2
g4683	4	29	67	22	14	16	54	10	38	29	2	11	31	27	27	24	18	13
g4684	39	28	130	199	40	29	4	126	1	6	6	14	10	0	155	200	35	26
g4685	97	289	81	68	236	251	355	184	177	99	130	50	72	77	48	176	243	121
g4686	1144	2360	1713	1914	517	622	2497	1158	972	1809	914	661	1633	938	1580	3774	1622	1061
g4687	8	14	11	15	10	5	6	10	5	21	2	9	8	8	7	6	8	8
g4688	11	22	14	19	12	11	15	17	11	24	9	10	9	18	9	18	20	7
g4689	0	0	1	55	63	4	9	1	9	1	7	4	12	15	34	6	4	2
g4690	2	222	35	44	8	23	39	10	0	12	47	31	35	8	16	46	18	21
g4691	3168	1215	1790	4378	2579	2635	2206	4481	2070	1387	1741	1525	2872	2264	928	3925	2828	1286
g4692	4194	4768	2558	10136	10125	1162	13111	5875	4135	7067	2156	583	2315	944	2337	11878	8175	250
g4693	14	45	50	154	21	24	13	34	62	20	14	15	18	62	39	120	52	11
g4694	1	1	2	4	3	1	1	4	1	3	2	2	2	2	1	2	0	1
g4695	0	13	9	4	0	1	3	1	0	0	0	1	19	1	2	8	1	0
g4696	14	24	19	51	23	5	26	3	1	2	6	11	1	18	5	24	3	1
g4697	79	52	81	242	78	71	113	71	72	115	39	53	113	83	32	114	102	71
g4698	0	294	34	2	46	2	76	5	9	1	1	149	168	1	38	41	28	293
g4699	107	63	42	114	53	60	36	81	34	51	44	47	40	25	50	98	70	24
g4700	185	319	71	162	139	230	480	258	277	343	93	202	153	161	244	228	269	164
g4701	12659	9987	6666	10701	10361	6410	13846	5120	6875	6486	5046	5827	8208	7923	5200	10863	11639	5812
g4702	1	5	1	0	12	1	10	2	3	7	0	4	0	3	6	6	1	1
g4703	47	115	59	72	38	52	30	68	99	42	10	31	155	67	27	53	245	98
g4704	167	459	201	533	353	272	483	751	685	291	290	335	249	136	191	586	503	403
g4705	18	24	6	43	6	4	144	52	32	9	7	36	1	6	6	5	3	11
g4706	11	121	61	126	210	1	28	56	6	17	9	29	7	26	3	160	7	9
g4707	50	49	48	109	81	85	112	47	66	63	34	38	102	68	33	53	52	37
g4708	4021	5220	4280	5899	4230	3398	10118	5001	4557	5800	2995	3262	5743	2821	3283	5131	4219	2859
g4709	7	11	49	54	41	43	10	19	39	33	38	70	60	32	13	32	58	32
g4710	19	17	19	31	18	9	40	23	16	7	14	20	21	16	14	30	15	15
g4711	581	822	209	206	1119	266	664	231	272	236	148	228	210	206	151	591	637	38
g4712	3	8	17	56	32	43	10	25	7	9	27	15	25	18	13	14	15	13
g4713	331	688	188	540	569	497	754	310	395	256	262	412	502	204	176	587	856	383
g4714	483	244	485	1500	100	627	994	976	957	299	579	694	474	961	692	304	861	194
g4715	1	4	2	1	1	6	1	15	0	2	3	2	0	3	0	6	0	5
g4716	24	38	19	43	26	13	37	34	28	28	12	22	19	22	16	54	14	26
g4717	2	1	4	4	15	5	2	3	2	1	6	1	1	1	7	4	1	3
g4718	325	347	582	122	652	67	1666	819	309	419	416	289	60	434	266	166	129	188
g4719	544	769	1216	977	635	441	719	826	1003	446	373	510	539	198	759	837	666	291
g4720	727	1682	828	1842	997	822	1389	977	849	1188	848	772	1220	777	870	1335	1668	607
g4721	6	14	13	0	16	2	13	8	16	16	12	27	9	8	4	10	24	16
g4722	115	134	52	143	83	87	131	152	90	71	62	103	83	87	64	112	98	49
g4723	111	381	328	267	418	200	878	604	286	426	145	286	754	173	377	507	584	129
g4724	2	12	13	20	11	3	0	8	0	7	4	12	2	9	0	12	5	2
g4725	774	970	608	1161	964	615	1499	1155	1019	628	517	655	577	548	472	1690	789	619
g4726	1254	1252	1030	1573	2146	1137	1756	1616	1814	1529	869	1267	1716	795	846	1972	1265	689
g4727	3	31	19	54	76	3	69	36	26	2	11	64	43	12	54	37	21	3
g4728	315	241	211	320	310	247	390	264	225	461	191	158	247	175	102	251	388	208
g4729	29	113	48	53	66	39	100	67	33	86	39	23	78	86	75	20	53	15
g4730	122	65	50	103	101	84	71	139	35	59	38	58	48	94	49	96	71	84
g4731	9	19	6	7	18	2	10	9	3	1	5	6	15	3	6	20	9	1
g4732	2928	3462	2533	3619	2999	2571	4626	3441	2936	2203	1134	1852	1898	2011	1985	4895	3182	2094
g4733	832	800	1175	1196	763	763	1932	1060	605	352	452	725	264	300	466	1127	444	473
g4734	903	464	877	1110	878	939	1785	1325	1003	873	1360	880	1500	841	1449	1884	1624	635
g4735	71	116	68	60	102	46	88	104	81	136	202	326	209	159	175	203	393	138
g4736	6	27	17	20	4	0	13	4	3	8	5	30	45	82	13	27	7	7
g4737	669	1274	2246	3459	1296	1597	2456	1207	884	2058	858	952	649	1913	799	962	826	676
g4738	31	72	53	20	78	2	6	45	0	20	18	5	11	7	24	68	34	32
g4739	2	10	4	6	8	3	16	6	18	9	8	3	3	5	3	12	5	6
g4740	17	10	13	20	48	15	64	14	13	2	20	12	0	9	3	35	24	12
g4741	82	103	104	146	77	48	301	145	6	18	81	121	27	49	102	140	31	26
g4742	191	184	183	302	246	257	289	331	168	196	172	133	165	112	165	234	291	193
g4743	9	0	3	10	32	5	1	1	0	5	2	4	2	0	0	0	5	0
g4744	0	0	4	0	3	4	4	0	1	4	0	5	1	0	4	0	5	8
g4745	2	19	8	26	15	8	13	5	6	17	8	2	6	3	4	13	22	12
g4746	397	484	376	897	528	396	706	404	379	542	268	418	192	442	430	674	338	302
g4747	102	228	147	368	189	94	176	211	176	89	54	164	232	241	114	170	102	151
g4748	2727	5303	4674	4061	5563	3944	3606	2319	3919	2488	2764	6661	3293	2981	1161	4675	4786	1317
g4749	1432	1288	930	2677	1251	1363	1668	2416	1301	867	823	881	1399	1429	1186	2518	2056	1150
g4750	977	869	671	1755	1402	397	2213	1272	415	1036	790	418	1166	882	412	901	1287	1160
g4751	661	1504	1061	1720	1982	868	841	1595	1338	1108	512	696	1012	819	1046	2482	1278	570
g4752	275	297	193	513	368	360	703	560	236	186	102	349	252	129	167	557	442	266
g4753	1862	2450	1254	3176	2573	2202	4154	2308	2475	2108	2018	1053	2769	2282	2490	1618	4661	2245
g4754	783	1809	683	2559	1980	1642	2043	1526	1408	1252	1091	915	1308	947	1068	2900	952	1342
g4755	709	962	694	1499	458	1430	1550	1330	523	591	603	820	1243	507	537	1033	1870	618
g4756	825	2493	1298	695	914	353	1324	2345	303	1812	553	3640	1137	960	1211	1562	2250	581
g4757	1231	3422	1500	2724	1288	945	2502	1807	1328	1773	1389	1320	687	733	1063	1575	2780	943
g4758	261	866	411	476	551	588	494	171	582	941	220	729	880	355	394	622	1283	229
g4759	33	81	121	70	74	11	112	96	98	30	40	50	77	44	28	22	69	34
g4760	512	486	388	500	417	200	426	298	233	262	201	162	198	306	391	392	274	277
g4761	0	0	3	0	0	13	22	1	19	1	0	0	0	0	5	33	0	11
g4762	1	1	4	1	0	3	4	2	4	13	18	1	9	4	61	2	13	2
g4763	29	30	28	34	13	9	38	26	9	18	14	9	17	5	10	30	8	14
g4764	3549	6437	4287	6451	5513	4251	5443	5551	3584	4345	2053	2760	4479	3150	4612	5825	5813	3114
g4765	209	41	6	7	147	87	112	83	185	68	93	70	59	61	65	56	147	103
g4766	246	358	216	258	247	226	494	408	305	281	198	144	199	235	166	164	354	162
g4767	10	18	6	5	7	23	5	13	13	19	7	6	15	9	7	6	10	3
g4768	37	27	16	15	54	16	36	26	17	62	8	24	21	15	16	40	59	17
g4769	1506	2465	2131	3184	2405	1488	1841	1885	1564	1888	1349	1705	2616	1614	1383	2519	2271	2126
g4770	4154	6822	2264	5678	1774	2258	2029	2531	1845	1865	1513	1258	2403	1317	1776	4474	3125	1504
g4771	3	3	1	4	16	1	10	0	8	2	5	0	0	3	0	4	0	0
g4772	78	68	37	445	67	137	368	127	49	132	30	111	99	42	71	53	130	57
g4773	427	1021	768	571	819	584	703	844	272	609	194	600	506	275	315	815	993	418
g4774	5	0	0	4	2	0	3	0	0	3	1	0	1	1	1	3	2	2
g4775	17	35	12	37	6	24	21	32	16	23	1	35	11	20	8	5	11	19
g4776	34	37	39	58	31	32	49	37	34	53	18	15	45	27	30	48	49	16
g4777	122	141	64	237	176	96	231	124	120	75	112	133	78	132	117	206	159	16
g4778	238	258	239	509	693	372	493	294	308	192	205	280	431	178	139	223	510	229
g4779	1859	1653	1919	2594	2501	1392	3479	1948	1495	1597	698	1487	1481	876	1257	1630	2379	1154
g4780	72	154	62	125	140	78	164	115	95	100	48	39	148	86	104	114	133	78
g4781	423	351	272	738	504	376	541	591	280	249	232	319	423	238	245	505	319	318
g4782	1063	1312	2123	1878	1571	981	3458	716	740	920	1033	579	1200	606	1131	1815	1598	1471
g4783	31	40	20	76	72	8	19	42	47	34	2	11	29	18	18	42	54	18
g4784	2046	1362	1440	1812	1918	896	3236	4177	1536	2137	1010	1815	2162	1805	472	2443	2830	1295
g4785	90	64	128	82	68	52	17	216	55	121	28	25	55	134	58	51	304	82
g4786	95	78	55	21	93	34	66	64	37	14	46	46	41	28	93	49	24	63
g4787	15	0	4	10	27	0	1	1	4	3	0	17	1	7	5	7	5	16
g4788	579	749	570	1241	788	680	980	1220	671	760	497	561	543	419	435	856	844	582
g4789	10	37	43	55	45	135	65	135	62	74	38	84	39	36	110	92	50	66
g4790	406	526	434	357	346	380	471	520	559	382	310	225	225	227	188	385	519	315
g4791	59	37	43	51	23	15	53	17	28	38	11	11	28	7	24	23	25	19
g4792	2456	2357	515	7006	3558	217	1629	3262	2712	999	629	1286	1808	595	1376	1334	3921	4694
g4793	17	21	41	70	17	35	25	122	57	18	26	43	26	11	17	17	54	48
g4794	1846	2096	4012	7235	2904	2813	5556	5583	3274	4089	3490	1866	2900	2021	3206	3046	6142	1517
g4795	4	7	5	15	4	6	16	6	6	4	0	7	6	4	4	3	3	8
g4796	129	219	76	208	166	116	118	239	153	247	56	127	90	88	141	173	184	48
g4797	2263	1660	1568	2135	1896	646	1249	1014	936	493	321	1281	534	623	927	2018	138	825
g4798	16	18	28	17	18	11	33	25	14	20	23	40	20	17	7	30	54	7
g4799	10	11	8	9	7	9	13	11	5	7	2	10	5	7	4	7	12	6
g4800	7	5	5	12	4	6	4	5	7	5	3	4	2	7	1	1	5	0
g4801	3	17	3	3	7	5	8	4	6	2	2	0	11	3	1	1	10	6
g4802	1076	927	1097	1975	1437	1040	1137	1244	1268	942	744	813	775	926	353	2048	2192	874
g4803	202	270	161	611	459	519	445	500	389	349	491	335	800	622	464	366	692	275
g4804	4099	1969	1743	2809	872	2095	1229	1630	1145	880	455	1993	3085	1298	1717	2965	745	721
g4805	6	81	7	49	37	25	54	59	45	15	31	33	27	25	46	110	73	46
g4806	777	944	1229	1230	1399	1292	1643	1979	712	756	349	662	938	626	700	1704	714	1006
g4807	4	6	4	4	3	1	5	3	2	6	2	4	5	5	6	8	5	5
g4808	1718	2779	2665	3141	2855	1931	2395	2598	1924	1361	1760	2072	1238	1757	1768	3053	2513	1602
g4809	9	0	1	1	0	1	2	0	6	0	0	0	17	0	0	9	3	0
g4810	1214	1668	1103	1226	1777	1185	1729	1909	1219	1613	1510	857	887	1064	1470	1259	1103	990
g4811	43	9	72	17	6	8	56	26	15	23	29	56	4	58	67	31	0	1
g4812	5	6	17	3	11	3	10	7	9	16	1	6	3	7	0	6	3	2
g4813	68	4	1	32	21	2	17	16	5	2	29	5	6	11	3	5	4	17
g4814	496	906	525	970	810	477	1076	1087	772	523	569	668	667	510	395	883	825	397
g4815	7	4	15	52	3	13	8	0	7	3	3	3	5	1	8	0	15	3
g4816	137	179	94	119	179	82	167	201	91	108	63	62	109	63	95	148	101	62
g4817	7	20	7	1	7	2	10	10	1	16	10	4	17	15	8	6	30	6
g4818	757	1352	991	4596	111	23	1683	3115	800	1661	650	687	982	530	193	780	327	265
g4819	393	310	215	531	303	197	531	401	351	352	182	314	331	266	164	436	344	269
g4820	5	1	16	33	5	36	71	5	14	3	80	16	6	32	1	3	171	46
g4821	44	61	32	69	30	21	59	30	22	19	18	24	37	31	10	65	31	12
g4822	11540	5750	7771	10294	12121	8075	17367	14342	6738	8934	6556	6511	7024	6214	4497	11420	8918	5362
g4823	3030	1980	1886	4040	2052	2654	4358	2130	1583	1595	1157	2191	3516	1530	1547	4030	6361	2898
g4824	93	138	104	373	305	162	340	267	68	79	131	110	139	157	119	187	237	92
g4825	7	2	1	0	5	28	2	7	1	0	9	1	7	1	8	34	0	0
g4826	2	3	5	4	2	1	3	8	0	0	3	1	0	3	0	7	0	2
g4827	12	96	24	72	34	63	67	60	19	35	13	56	50	14	76	30	83	8
g4828	458	1397	965	2155	1755	1002	714	965	1267	695	733	774	935	644	402	900	1486	514
g4829	15	4	11	6	4	3	14	1	9	4	4	5	3	3	2	4	12	1
g4830	1216	1999	1333	3724	3187	1296	3473	3334	2899	1890	1025	1589	2347	1373	1466	4426	3119	1505
g4831	2521	1309	1603	3676	1259	1236	1562	3399	1475	964	616	1423	1016	1118	760	2417	2446	728
g4832	1224	127	359	591	828	631	274	638	619	268	316	640	174	206	443	419	454	280
g4833	792	2997	870	603	1431	1444	333	1216	1900	1487	457	834	277	490	305	6884	426	315
g4834	216	253	135	341	220	159	257	246	177	132	94	167	195	131	155	239	268	133
g4835	7577	4407	6521	6887	6678	4687	7015	3795	3782	2712	4939	4744	2979	4008	4262	9529	5817	5535
g4836	293	572	1092	1343	1333	303	1013	863	1133	278	215	698	276	591	601	948	342	351
g4837	14	10	41	38	46	50	31	22	50	13	17	10	69	22	41	81	26	15
g4838	768	1121	808	1351	1039	565	1351	803	739	646	696	425	959	1077	663	1128	814	533
g4839	644	779	480	1164	833	634	961	697	360	541	567	594	762	711	399	748	839	525
g4840	475	866	353	1069	486	25	908	328	902	552	80	411	475	279	720	374	285	474
g4841	471	529	51	816	634	61	11	219	293	712	363	320	567	395	488	681	143	178
g4842	3	2	10	26	6	5	0	12	8	1	0	3	8	4	1	1	1	3
g4843	8662	13853	11993	10894	15650	10926	14861	10035	5157	7576	4735	6189	9870	5398	6967	9877	11368	4994
g4844	159	73	114	60	77	85	77	196	133	141	11	196	307	33	66	85	72	155
g4845	370	92	103	415	63	30	284	321	106	183	50	141	54	111	285	141	202	47
g4846	1397	5254	2394	5858	4253	4176	5040	6501	1838	2248	2288	3156	4068	2413	1847	4249	2662	3094
g4847	112	370	161	302	270	402	524	521	428	28	106	110	137	180	142	121	54	60
g4848	621	764	672	602	844	745	970	580	596	329	262	362	808	561	479	612	1018	467
g4849	26	152	65	105	90	89	30	141	37	80	76	9	44	38	78	146	92	103
g4850	1115	1598	1372	3251	3033	926	2625	2228	1709	591	1519	1816	1408	1406	1049	1441	2051	1410
g4851	72	85	60	184	61	112	76	74	64	46	86	82	67	53	35	73	60	39
g4852	1128	1075	999	1831	1467	1276	1444	2042	1437	1542	905	765	714	929	1190	1776	1566	431
g4853	48	240	162	540	228	88	171	228	65	67	135	100	142	145	43	97	252	37
g4854	367	2727	2360	3062	1305	2147	2100	2478	2320	1791	2031	983	1133	986	1363	2178	4046	1935
g4855	37	9	7	17	30	22	118	36	27	65	4	77	18	10	19	20	14	19
g4856	582	653	387	779	445	299	880	619	412	399	312	417	375	388	549	598	646	343
g4857	16	12	10	5	6	4	12	3	21	19	16	12	10	12	1	18	15	4
g4858	97	31	135	87	124	45	154	51	23	87	77	112	164	37	56	209	312	110
g4859	17	48	114	49	134	40	57	55	120	30	24	38	6	87	15	170	75	27
g4860	2678	5591	3123	6966	5454	2791	4774	6253	3491	7132	1582	3589	3798	2477	704	5033	7838	4142
g4861	94	104	74	86	97	57	51	70	86	49	45	46	61	17	43	66	110	34
g4862	2	6	0	11	6	3	11	7	7	6	0	0	9	2	4	1	6	2
g4863	5091	7202	5182	9187	7152	6939	9778	9325	3783	7149	3655	3515	6154	4063	5107	8629	9626	6884
g4864	11	11	4	3	4	3	15	6	3	6	5	9	7	6	4	7	4	4
g4865	753	1096	622	843	425	713	1365	721	578	366	407	443	372	483	336	598	281	377
g4866	149	476	235	146	107	144	457	166	122	217	193	135	169	307	286	168	251	27
g4867	723	1160	714	1257	742	750	1053	879	755	1032	530	383	629	399	504	1176	1078	642
g4868	47	73	55	45	46	46	147	62	29	69	29	53	42	40	54	46	71	41
g4869	20	6	13	49	4	3	10	14	8	7	7	28	17	4	5	9	22	2
g4870	32	143	83	158	82	129	160	182	67	130	81	70	73	142	65	95	111	53
g4871	4	0	0	0	0	29	677	0	0	37	0	0	0	0	4	0	0	0
g4872	542	327	178	656	371	265	530	709	346	450	256	263	157	459	204	1125	640	345
g4873	180	561	146	428	179	106	118	127	448	253	145	194	306	270	94	220	200	117
g4874	1184	1957	1002	2380	1415	1070	1993	2265	878	1406	1155	1379	1117	510	785	1418	1559	937
g4875	7	8	30	121	12	6	32	39	7	12	6	14	40	10	15	112	3	8
g4876	60	13	34	21	14	12	24	8	10	32	32	21	18	15	9	36	6	45
g4877	155	200	188	611	247	170	369	283	247	329	177	235	241	254	145	284	272	189
g4878	1052	748	292	1544	1383	2702	992	1771	293	544	575	927	752	1732	683	2307	555	1059
g4879	905	2644	1028	2094	1771	1166	2149	2056	1095	1239	561	1341	1148	605	899	2474	1748	754
g4880	961	839	479	1529	1294	498	822	1930	494	702	787	938	1255	1370	427	919	1508	501
g4881	8	8	3	35	16	7	16	46	6	9	28	8	19	20	2	10	41	16
g4882	531	774	529	794	287	561	582	497	481	813	403	591	335	408	215	551	662	458
g4883	600	1136	504	1170	1141	543	1055	992	677	958	613	748	620	327	484	856	1133	399
g4884	2	7	3	11	6	5	8	0	0	0	8	6	3	1	1	5	1	0
g4885	183	293	267	506	270	427	604	386	328	226	134	145	318	188	169	359	355	269
g4886	8	2	7	0	11	2	22	10	13	6	5	0	0	1	9	2	3	0
g4887	2008	2641	1346	2837	2592	1111	2388	1766	2667	1985	2206	806	841	1858	2232	2595	1880	1278
